uniform_number,age,date_of_birth,POS,height,player,weight,throws,bats,first_year
44,26,"Sep 12, 1992",Pitcher,"6' 3""",Matt Wisler,215,R,R,2011
57,32,"Feb 16, 1987",Pitcher,"6' 0""",Tommy Milone,215,L,L,2008
36,26,"Nov 16, 1992",Pitcher,"6' 2""",Reggie McClain,180,R,R,2015
61,29,"Nov 10, 1989",Pitcher,"6' 3""",Matt Magill,210,R,R,2008
49,34,"Aug 7, 1984",Pitcher,"6' 3""",Wade LeBlanc,205,L,L,2006
18,28,"Jun 17, 1991",Pitcher,"6' 0""",Yusei Kikuchi,194,L,L,2011
37,26,"Feb 17, 1993",Pitcher,"6' 2""",Zac Grotz,195,R,R,2014
7,27,"Feb 16, 1992",Pitcher,"6' 1""",Marco Gonzales,195,L,L,2013
35,33,"Apr 14, 1986",Pitcher,"6' 1""",Cory Gearrin,205,R,R,2007
50,25,"Sep 4, 1993",Pitcher,"6' 3""",Erik Swanson,235,R,R,2014
52,31,"Nov 1, 1987",Pitcher,"6' 2""",Anthony Bass,200,R,R,2008
26,26,"Oct 19, 1992",Pitcher,"6' 3""",Sam Tuivailala,225,R,R,2010
65,27,"Jul 26, 1991",Pitcher,"6' 4""",Brandon Brennan,220,R,R,2012
25,26,"Aug 2, 1992",Position,"6' 0""",Dylan Moore,200,R,R,2014
20,26,"Dec 17, 1992",Position,"6' 0""",Daniel Vogelbach,250,R,L,2011
10,25,"Jun 24, 1994",Position,"5' 11""",Tim Lopes,180,R,R,2012
22,27,"Feb 10, 1992",Position,"5' 11""",Omar Narvaez,220,R,L,2009
3,24,"Jan 11, 1995",Position,"6' 2""",J.P. Crawford,180,R,L,2013
23,29,"Dec 28, 1989",Position,"6' 0""",Austin Nola,195,R,R,2012
4,29,"May 7, 1990",Position,"6' 3""",Keon Broxton,195,R,R,2009
9,31,"Apr 22, 1988",Position,"5' 11""",Dee Gordon,170,R,L,2008
0,26,"May 6, 1993",Position,"5' 10""",Mallex Smith,180,R,L,2012
15,31,"Nov 3, 1987",Position,"6' 0""",Kyle Seager,210,R,L,2009
16,26,"Aug 5, 1992",Position,"6' 5""",Domingo Santana,220,R,R,2009
2,28,"Apr 3, 1991",Position,"6' 1""",Tom Murphy,218,R,R,2012
63,28,"May 5, 1991",Pitcher,"6' 3""",Austin Adams,225,R,R,2012
53,26,"Sep 8, 1992",Pitcher,"5' 11""",Dan Altavilla,200,R,R,2014
17,28,"Dec 23, 1990",Position,"6' 2""",Mitch Haniger,215,R,R,2012
5,25,"Aug 22, 1993",Position,"6' 1""",Braden Bishop,190,R,R,2013
46,24,"May 31, 1995",Pitcher,"6' 3""",Gerson Bautista,195,R,R,2014
56,27,"Jul 23, 1991",Pitcher,"6' 3""",Matt Carasiti,210,R,R,2012
33,23,"May 13, 1996",Pitcher,"6' 0""",Justus Sheffield,200,L,L,2014
67,26,"Mar 11, 1993",Pitcher,"6' 2""",Matt Festa,195,R,R,2016
47,22,"Apr 11, 1997",Pitcher,"5' 11""",Ricardo Sanchez,215,L,L,2014
12,31,"May 28, 1988",Position,"6' 2""",Ryan Court,210,R,R,2011
39,23,"Aug 22, 1995",Position,"5' 8""",Shed Long,184,R,L,2013
