,SO_p,BB_p,CG,IP,L,fielding_perc,earned_run_avg,runs_allowed_per_game,HR_p,G,W,whip
0,909,360,2,1053.2,71,.975,5.16,5.80,204,119,48,1.407
0,1328,400,3,1448.2,73,.985,4.13,4.39,195,162,89,1.240
0,1244,490,1,1440.1,84,.982,4.46,4.77,237,162,78,1.312
0,1318,460,2,1457.0,76,.985,4.00,4.36,213,162,86,1.283
0,1283,491,6,1463.0,86,.985,4.16,4.48,181,162,76,1.313
0,1317,463,2,1452.0,75,.986,3.17,3.42,137,162,87,1.173
0,1297,478,4,1465.0,91,.986,4.31,4.65,174,162,71,1.328
0,1166,449,8,1456.2,87,.988,3.76,4.02,166,162,75,1.241
0,1088,436,12,1433.0,95,.982,3.90,4.17,145,162,67,1.260
0,973,452,11,1438.0,101,.982,3.93,4.31,157,162,61,1.289
0,1043,534,4,1452.2,77,.982,3.87,4.27,172,162,85,1.303
0,1016,626,4,1435.1,101,.984,4.73,5.01,161,162,61,1.512
0,1020,546,6,1434.1,74,.985,4.73,5.02,147,162,88,1.481
0,1067,560,6,1446.2,84,.985,4.60,4.89,183,162,78,1.424
0,892,496,6,1427.2,93,.986,4.49,4.64,179,162,69,1.386
0,1036,575,7,1459.1,99,.983,4.76,5.08,212,162,63,1.421
0,1001,466,8,1441.0,69,.989,3.76,3.93,173,162,93,1.253
0,1063,441,8,1445.1,69,.985,4.07,4.31,178,162,93,1.289
0,1051,465,8,1465.0,46,.986,3.54,3.87,160,162,116,1.200
0,998,634,4,1441.2,71,.984,4.49,4.81,167,162,91,1.440
0,980,684,7,1433.2,83,.981,5.24,5.59,191,162,79,1.602
0,1156,528,17,1424.1,85,.979,4.93,5.31,196,161,76,1.445
0,1207,598,9,1447.2,72,.979,4.78,5.14,192,162,90,1.449
0,1000,605,4,1431.2,76,.982,5.21,5.56,216,161,85,1.514
0,1068,591,9,1289.1,66,.980,4.50,4.88,149,145,79,1.500
0,763,486,13,984.0,63,.977,4.99,5.50,109,112,49,1.562
0,1083,605,22,1453.2,80,.985,4.20,4.51,135,162,82,1.394
0,894,661,21,1445.0,98,.982,4.55,4.93,129,162,64,1.473
0,1003,628,10,1464.1,79,.983,3.79,4.16,136,162,83,1.376
0,1064,606,21,1443.1,85,.979,3.69,4.20,120,162,77,1.334
0,897,560,15,1438.0,89,.977,4.00,4.49,114,162,73,1.378
0,981,558,28,1428.0,93,.980,4.15,4.62,144,161,68,1.361
0,919,497,39,1430.2,84,.980,4.49,4.94,199,162,78,1.398
0,944,585,33,1439.2,95,.975,4.65,5.15,171,162,67,1.511
0,868,637,23,1432.0,88,.980,4.68,5.05,154,162,74,1.462
0,972,619,26,1442.0,88,.979,4.31,4.78,138,162,74,1.467
0,910,544,25,1418.1,102,.978,4.12,4.57,145,162,60,1.409
0,1002,547,23,1476.1,86,.978,3.88,4.40,173,162,76,1.340
0,478,360,10,997.1,65,.979,4.23,4.74,76,110,44,1.403
0,703,540,31,1457.1,103,.977,4.38,4.87,159,163,59,1.444
0,736,571,37,1438.0,95,.978,4.58,5.06,165,162,67,1.487
0,630,567,28,1419.1,104,.978,4.67,5.21,155,160,56,1.484
0,785,578,18,1433.0,98,.976,4.83,5.28,194,162,64,1.456
